Python,Sql,ML,Tableau,Excel
0.8,0.57,0.63,0.5,0.34
0.81,0.9,0.62,0.71,0.92
0.49,0.69,0.62,0.64,0.41
0.4,0.94,0.6,0.26,0.47
0.31,0.87,1,0.23,0.99
0.14,0.87,0.09,0.92,0.7
0.21,0.8,0.88,0.63,0.36
0.08,0.78,0.61,0.4,0.63
0.81,0.17,0.9,0.5,0.61
0.31,0.28,0.79,0.12,0.67
0.28,0.13,0.46,1,0.06
0.22,0.63,0.5,0.02,0.29
0.86,0.67,0.65,0.31,0.32
0.91,0.21,0.22,0.74,0.37
0.88,0.83,0.93,0.19,0.63
0.11,0.35,0.6,0.82,0.4
0.08,0.97,0.76,0.1,0.25
0.38,0.46,1,0.74,0.11
0.89,0.01,0.14,0.51,0.47
0.3,0.37,0.18,0.18,0.59
0.09,0.16,0.77,0.87,0.01
0.4,0.56,0.39,0.45,0.8
0.12,0.37,0.03,0.46,0.79
0.7,0.38,0.07,0.02,0.37
0.45,0.8,0.12,0.24,0.02
0.16,0.45,0.54,0.98,0.11
0.13,0.24,0.52,0.68,0.48
0.08,0.17,0.17,0.02,0.35
0.48,0.29,0.61,0.8,0.45
0.27,0.24,0.54,0.71,0.36
0.47,0.32,0.73,0.88,0.21
0.73,0.13,0.53,0.16,0.03
0.99,0.3,0.68,0.89,0.27
0.03,0.33,0.99,0.06,0.42
0.73,0.99,0.84,0.9,0.01
0.91,0.43,0.8,0.74,0.89
0.15,0.66,0.52,0.65,0.79
0.83,0.65,0,0.4,0.04
0.02,0.26,0.65,0.56,0.32
0.53,0.22,0.77,0.72,0.22
0.38,0.44,0,0.42,0.85
0.56,0.57,0.38,0.31,0.15
0,0.36,0.84,0.75,0.11
0.02,0.76,0.29,0.17,0.58
0.34,0.33,0.74,0.79,0.35
0.45,0.83,0.17,0.12,0.24
0.54,0.49,0.7,0.01,0.16
0.19,0.02,0.15,0.56,0.04
0.52,0.79,0.27,0.86,0.51
0.19,0.99,0.09,0.67,0.28
0.37,0.46,0.41,0.31,0.83
0.94,0.61,0.07,0.87,0.88
0.1,0.13,0.84,1,0.52
0.74,0.26,0.94,0.72,0.64
0.97,0.75,0.74,0.44,0.1
0.74,0.16,0.02,0.49,0.98
0.56,0.63,0.51,0.86,0.81
0.38,0.51,0.88,0.34,0.04
0.9,0.14,0.49,0.31,0.74
0,0.55,0.66,0.04,0.22
0.98,0.49,0.52,0.52,0.23
0.24,0.39,0.22,0.95,0.68
0.55,0.02,0.97,0.77,0.57
0.22,0.41,0.92,0.79,0.81
0.33,0.88,0.3,0.35,0.82
0.86,0.58,0.61,0.31,0.06
0.07,0.63,0.55,0.22,0.87
0.92,0.48,0.16,0.59,0.07
0.35,0.2,0.03,0.65,0.59
0.63,0.62,0.4,0.96,0.09
0.84,0.58,0.96,0.44,0.75
0.61,0.09,0.37,0.36,0.88
0.9,0.59,0.28,0.18,0.28
0.34,0.07,0.72,0.04,0.66
0.27,0.52,0.52,0.68,0.25
0.63,0.2,0.92,0.34,0.19
0.57,0.76,0.56,0.37,0.23
0.75,0.86,0.83,0.32,0.58
0.41,0.19,0.07,0.6,0.58
0.88,0.71,0.43,0.35,0.77
0.67,0.59,0.82,0.45,0
0.9,0.75,0.54,0.83,0.53
0.87,0.04,0.38,0.84,0.48
0.75,0.02,0.02,0.08,0.98
0.27,0.11,0.28,0.72,0.52
0.74,0.84,0.62,0.87,0.55
0.05,0.18,0.69,0.35,0.5
0.79,0.58,0.35,0.38,0.43
0.24,0.34,0.87,0.05,0.57
0.7,0.82,0.92,0.52,0.93
0.8,0.62,0.53,0.57,0.9
0.38,0.45,0.82,0.1,0.26
0.37,0.88,0.87,0.65,0.64
0.28,0.7,0.23,0.45,0.35
0.53,0.82,0.55,0.1,0.84
0.19,0.56,0.99,0.85,0.27
0.02,0.18,0.76,0.76,0.76
0.86,0.03,0.84,0.4,0.87
0.97,0.01,0.78,0.52,0.31
0.17,0.07,0.36,0.4,0.1
0.6,0.51,0.74,0.86,0.19
0.71,0.71,0.82,0.44,0.61
0.53,0.09,0.9,0.23,0.65
0.87,0.21,0.73,0.91,0.86
0.24,0.51,0.39,0.05,0.17
0.71,0.47,0.86,0.72,0.08
0,0.56,0.5,0.43,0.41
0.81,0.09,0.66,0.64,0.37
0.73,0.96,0.3,0.65,0.85
0.39,0.05,0.17,0.5,0.6
0.15,0.88,0.56,0.53,0.51
0.33,0.98,0.14,0.95,0.17
0.88,0.61,0.27,0.04,0.94
0.62,0.92,0.76,0.1,0.76
0.09,0.39,0.31,0.43,0.24
0.39,0.4,0.04,0.51,0.2
0.67,0.63,0.94,0.84,0.14
0.76,0.95,0.77,0.09,0.62
0.12,0.2,0.98,0.19,0.64
0.88,0.25,0.7,0.85,0.53
0.67,0.11,0.16,0.72,0.63
0.2,0.39,0.52,0.63,0.2
0.95,0.59,0.4,0.02,0.42
0.28,0.82,0.14,0.17,0.55
0.15,0.91,0.59,0.42,0.5
0.82,0.69,0.29,0.62,0.84
0.58,0.93,0.77,0.33,0.14
0.04,0.2,0.16,0.36,0.71
0.16,0.33,0.32,0.16,0.59
0.56,0.37,0.65,0.53,0.05
0.25,0.74,0.18,0.88,0.94
0.5,0.04,0.15,0.94,0.49
0.84,0.43,0.04,0.19,0.11
1,0.37,0.55,0.27,0.26
0.19,0.18,0.44,0.31,0.43
0.14,0.12,0.49,0.14,0.87
0.59,0.97,0.78,0.18,0.41
0.9,0.69,0.47,0.73,0.62
0.8,0.14,0.11,0.06,0.76
0.67,0.52,0.41,0.24,0.98
0.8,0.91,0.43,0.89,0.18
0.75,0.15,0.81,0.82,0.52
0.77,0.21,0.27,0.24,0.07
0.57,0.36,0.4,0.53,0.15
0.84,0.91,0.91,0.05,0.26
0.65,0.17,0.8,0.68,0.5
0.6,0.84,0.7,0.82,0.54
0.12,0.14,0.54,0.73,0.21
0.84,0.17,0.44,0.32,0.63
0.23,0.62,0.83,0.16,0.82
0.81,0.7,0.6,0.55,0.57
0.03,0.11,0.94,0.11,0.29
1,0.13,0.26,0.88,0.25
0.93,0.43,0.2,0.11,0.6
0.47,0.23,0.11,0.31,0.15
0.61,0.49,0.62,0.77,0.72
0.18,0.7,0.24,0.63,0.41
0.87,0.55,0.14,0.12,0.15
0.68,0.6,0.84,0.49,0.83
0.83,0.85,0.71,0.37,0.55
0.15,0.92,0.62,0.94,0.1
0.99,0.56,0.76,0.85,0.05
0.69,0.7,0.83,0.05,0.89
0.83,0.11,0.1,0.09,0.05
0.32,0.92,0.21,0.64,0.92
0.86,0.83,0.39,0.93,0.63
0.03,0.92,0.06,0.88,0.46
0.07,0.9,0.51,0.26,0.61
0.34,0.92,0.54,0.02,0.66
0.99,0.42,0.05,0.68,0.85
0.13,0.77,0.43,0.52,0.6
0.7,0.02,0.55,0.94,0.48
0.24,0.94,0.91,0.95,0.19
0.71,0.74,0.84,0.48,0.69
0.1,0.23,0.1,0.54,0.95
0.12,0.68,0.65,0.53,0.49
0.05,0.72,0.85,0.52,0.27
0.26,0.83,0.67,0.89,0.15
0.65,0.69,0.24,0.64,0.88
0.86,0.35,0.33,0.26,0.03
0.16,0.52,0.9,0.2,0.79
0.39,0.69,0.2,0.98,0.22
0.73,0.68,0.25,0.21,0.44
0.94,0.39,0.2,0.78,0.5
0.44,1,0.03,0.05,0.83
0.75,0.06,0.57,0.11,0.38
0.8,0.24,0.47,0.86,0.33
0.26,0.92,0.81,0.65,0.1
0.55,0.41,0.28,0.7,0.75
0.88,0.05,0.48,0.01,0.07
0.23,0.92,0.17,0.86,0.79
1,0.35,0.8,0.91,0.87
0.29,0.46,0.24,0.46,0.1
0.62,0.13,0.1,0.41,0.77
0.98,0.42,0.36,0.03,0.43
0.47,0.13,0.78,0.1,0.11
0.14,0.49,0.19,0.33,0.85
0.95,0.65,0.62,0.74,0.61
0.6,0.99,0.66,0.71,0.93
0.87,0.23,0.97,0.45,0.42
